samples	symbol	Genomic Alterations	Mutation	CNA Status	Expression
TCGA-02-0007	PIK3CA	-	-	-	-
TCGA-02-0007	PIK3CG	-	-	-	-
TCGA-02-0007	PIK3R1	-	-	-	-
TCGA-02-0007	PIP5K1A	-	-	-	-
TCGA-02-0007	PLCG1	-	-	-	-
TCGA-02-0007	PPP2R1A	-	-	-	-
TCGA-02-0007	PTEN	-	-	-	-
TCGA-02-0007	RAC1	2	0	2	-
TCGA-02-0007	RANBP2	-	-	-	-
TCGA-02-0007	RANBP3	-	-	-	-
TCGA-02-0007	RB1	-	-	-	-
TCGA-02-0007	RBMX	-	-	-	-
TCGA-02-0007	RHEB	-	-	-	-
TCGA-02-0007	RHOA	-	-	-	-
TCGA-02-0007	RPL5	-	-	-	-
TCGA-02-0007	RPSAP58	-	-	-	-
TCGA-02-0007	RUNX1	-	-	-	-
TCGA-02-0007	RXRA	-	-	-	-
TCGA-02-0007	SMAD2	-	-	-	-
TCGA-02-0007	SMC1A	-	-	-	-
TCGA-02-0007	SPATA6	-	-	-	-
TCGA-02-0007	SPEN	-	-	-	-
TCGA-02-0007	SPOP	-	-	-	-
TCGA-02-0007	STAG2	-	-	-	-
TCGA-02-0007	STK11	-	-	-	-
TCGA-02-0007	SYNE1	-	-	-	-
TCGA-02-0007	TBL1XR1	-	-	-	-
TCGA-02-0007	TBX3	-	-	-	-
TCGA-02-0007	TCF12	-	-	-	-
TCGA-02-0007	TCF7	-	-	-	-
TCGA-02-0007	TET2	-	-	-	-
TCGA-02-0007	TFDP1	-	-	-	-
TCGA-02-0007	TGFBR2	-	-	-	-
TCGA-02-0007	TGIF1	-	-	-	-
TCGA-02-0007	TJP2	-	-	-	-
TCGA-02-0007	TNFRSF10C	-	-	-	-
TCGA-02-0007	TOM1	-	-	-	-
TCGA-02-0007	TP53	-	-	-	-
TCGA-02-0007	U2AF1	-	-	-	-
TCGA-02-0007	WT1	-	-	-	-
TCGA-02-0007	ZFP36L1	-	-	-	-
TCGA-02-0007	ZFP36L2	-	-	-	-
TCGA-02-0007	ZNF132	-	-	-	-
TCGA-02-0007	ZNF300	-	-	-	-
TCGA-02-0007	ZNF814	-	-	-	-
TCGA-02-0007	ZNF844	-	-	-	-
TCGA-02-0009	ABCB1	-	-	-	-
TCGA-02-0009	ACVR1B	-	-	-	-
TCGA-02-0009	ADCY1	-	-	-	-
TCGA-02-0009	ADORA2A	-	-	-	-
TCGA-02-0009	AHNAK2	-	-	-	-
TCGA-02-0009	AKAP9	-	-	-	-
TCGA-02-0009	AKD1	-	-	-	-
TCGA-02-0009	AKT1	-	-	-	-
TCGA-02-0009	AMPH	-	-	-	-
TCGA-02-0009	APAF1	-	-	-	-
TCGA-02-0009	BCOR	-	-	-	-
TCGA-02-0009	BRAF	-	-	-	-
TCGA-02-0009	BRCA1	-	-	-	-
TCGA-02-0009	BRCA2	-	-	-	-
TCGA-02-0009	CAD	-	-	-	-
TCGA-02-0009	CASP8	-	-	-	-
TCGA-02-0009	CAST	-	-	-	-
TCGA-02-0009	CBFB	-	-	-	-
TCGA-02-0009	CCND1	-	-	-	-
TCGA-02-0009	CDKN2A	3	0	-2	-
TCGA-02-0009	CDKN2C	-	-	-	-
TCGA-02-0009	CEBPA	-	-	-	-
TCGA-02-0009	CENPF	-	-	-	-
TCGA-02-0009	CFH	-	-	-	-
TCGA-02-0009	CHD4	-	-	-	-
TCGA-02-0009	CHD8	-	-	-	-
TCGA-02-0009	CREM	-	-	-	-
TCGA-02-0009	CRTC3	-	-	-	-
TCGA-02-0009	CTCF	-	-	-	-
TCGA-02-0009	CUL1	-	-	-	-
TCGA-02-0009	DHX9	-	-	-	-
TCGA-02-0009	DICER1	-	-	-	-
TCGA-02-0009	DMD	-	-	-	-
TCGA-02-0009	DNMT3A	-	-	-	-
TCGA-02-0009	EGFR	2	0	2	-
TCGA-02-0009	EIF4A2	-	-	-	-
TCGA-02-0009	ELF3	-	-	-	-
TCGA-02-0009	ERCC2	-	-	-	-
TCGA-02-0009	EWSR1	-	-	-	-
TCGA-02-0009	EZH2	-	-	-	-
TCGA-02-0009	FANCA	-	-	-	-
TCGA-02-0009	FBN2	-	-	-	-
TCGA-02-0009	FBXO11	-	-	-	-
TCGA-02-0009	FES	-	-	-	-
TCGA-02-0009	FGFR3	-	-	-	-
TCGA-02-0009	FLT3	-	-	-	-
TCGA-02-0009	FOXA2	-	-	-	-
TCGA-02-0009	FRG1B	-	-	-	-
TCGA-02-0009	GATA3	-	-	-	-
TCGA-02-0009	GNAI1	-	-	-	-
TCGA-02-0009	GNAS	-	-	-	-
TCGA-02-0009	GOLGA5	-	-	-	-
TCGA-02-0009	GOT2	-	-	-	-
TCGA-02-0009	GPHN	-	-	-	-
TCGA-02-0009	GPS2	-	-	-	-
TCGA-02-0009	H3F3C	-	-	-	-
TCGA-02-0009	HGF	-	-	-	-
TCGA-02-0009	HLA-A	-	-	-	-
TCGA-02-0009	HMGXB4	-	-	-	-
TCGA-02-0009	HRAS	-	-	-	-
TCGA-02-0009	HSPA8	-	-	-	-
TCGA-02-0009	HUWE1	-	-	-	-
TCGA-02-0009	IDH1	-	-	-	-
TCGA-02-0009	IDH2	-	-	-	-
TCGA-02-0009	IRS2	-	-	-	-
TCGA-02-0009	KDM5C	-	-	-	-
TCGA-02-0009	KEAP1	-	-	-	-
TCGA-02-0009	KIFC3	-	-	-	-
TCGA-02-0009	KIT	-	-	-	-
TCGA-02-0009	KRAS	-	-	-	-
TCGA-02-0009	LEPR	-	-	-	-
TCGA-02-0009	LIFR	-	-	-	-
TCGA-02-0009	LPP	-	-	-	-
TCGA-02-0009	LUM	-	-	-	-
TCGA-02-0009	LZTR1	-	-	-	-
TCGA-02-0009	MALAT1	-	-	-	-
TCGA-02-0009	MAP2K4	-	-	-	-
TCGA-02-0009	MAP3K3	-	-	-	-
TCGA-02-0009	MAPK8IP1	-	-	-	-
TCGA-02-0009	MATK	-	-	-	-
TCGA-02-0009	MDM2	-	-	-	-
TCGA-02-0009	MDM4	-	-	-	-
TCGA-02-0009	METTL14	-	-	-	-
TCGA-02-0009	MN1	-	-	-	-
TCGA-02-0009	MTOR	-	-	-	-
TCGA-02-0009	NAV3	-	-	-	-
TCGA-02-0009	NBPF10	-	-	-	-
TCGA-02-0009	NCOA4	-	-	-	-
TCGA-02-0009	NF1	-	-	-	-
TCGA-02-0009	NFE2L2	-	-	-	-
TCGA-02-0009	NLRP3	-	-	-	-
TCGA-02-0009	NOTCH1	-	-	-	-
TCGA-02-0009	NR4A2	-	-	-	-
TCGA-02-0009	PCBP1	-	-	-	-
TCGA-02-0009	PDGFRA	-	-	-	-
TCGA-02-0009	PIK3CA	-	-	-	-
TCGA-02-0009	PIK3CG	-	-	-	-
TCGA-02-0009	PIK3R1	-	-	-	-
TCGA-02-0009	PIP5K1A	-	-	-	-
TCGA-02-0009	PLCG1	-	-	-	-
TCGA-02-0009	PPP2R1A	-	-	-	-
TCGA-02-0009	PTEN	-	-	-	-
TCGA-02-0009	RAC1	-	-	-	-
TCGA-02-0009	RANBP2	-	-	-	-
TCGA-02-0009	RANBP3	-	-	-	-
TCGA-02-0009	RB1	-	-	-	-
TCGA-02-0009	RBMX	-	-	-	-
TCGA-02-0009	RHEB	-	-	-	-
TCGA-02-0009	RHOA	-	-	-	-
TCGA-02-0009	RPL5	-	-	-	-
TCGA-02-0009	RPSAP58	-	-	-	-
TCGA-02-0009	RUNX1	-	-	-	-
TCGA-02-0009	RXRA	-	-	-	-
TCGA-02-0009	SMAD2	-	-	-	-
TCGA-02-0009	SMC1A	-	-	-	-
TCGA-02-0009	SPATA6	-	-	-	-
TCGA-02-0009	SPEN	-	-	-	-
TCGA-02-0009	SPOP	-	-	-	-
TCGA-02-0009	STAG2	-	-	-	-
TCGA-02-0009	STK11	-	-	-	-
TCGA-02-0009	SYNE1	-	-	-	-
TCGA-02-0009	TBL1XR1	-	-	-	-
TCGA-02-0009	TBX3	-	-	-	-
TCGA-02-0009	TCF12	-	-	-	-
TCGA-02-0009	TCF7	-	-	-	-
TCGA-02-0009	TET2	-	-	-	-
TCGA-02-0009	TFDP1	-	-	-	-
TCGA-02-0009	TGFBR2	-	-	-	-
TCGA-02-0009	TGIF1	-	-	-	-
TCGA-02-0009	TJP2	-	-	-	-
TCGA-02-0009	TNFRSF10C	-	-	-	-
TCGA-02-0009	TOM1	-	-	-	-
TCGA-02-0009	TP53	-	-	-	-
TCGA-02-0009	U2AF1	-	-	-	-
TCGA-02-0009	WT1	-	-	-	-
TCGA-02-0009	ZFP36L1	-	-	-	-
TCGA-02-0009	ZFP36L2	-	-	-	-
TCGA-02-0009	ZNF132	-	-	-	-
TCGA-02-0009	ZNF300	-	-	-	-
TCGA-02-0009	ZNF814	-	-	-	-
TCGA-02-0009	ZNF844	-	-	-	-
TCGA-02-0010	ABCB1	-	-	-	-
TCGA-02-0010	ACVR1B	-	-	-	-
TCGA-02-0010	ADCY1	-	-	-	-
TCGA-02-0010	ADORA2A	-	-	-	-
TCGA-02-0010	AHNAK2	-	-	-	-
TCGA-02-0010	AKAP9	-	-	-	-
TCGA-02-0010	AKD1	-	-	-	-
TCGA-02-0010	AKT1	-	-	-	-
TCGA-02-0010	AMPH	-	-	-	-
TCGA-02-0010	APAF1	-	-	-	-
TCGA-02-0010	BCOR	-	-	-	-
TCGA-02-0010	BRAF	-	-	-	-
TCGA-02-0010	BRCA1	-	-	-	-
TCGA-02-0010	BRCA2	-	-	-	-
TCGA-02-0010	CAD	-	-	-	-
TCGA-02-0010	CASP8	-	-	-	-
TCGA-02-0010	CAST	-	-	-	-
TCGA-02-0010	CBFB	-	-	-	-
TCGA-02-0010	CCND1	-	-	-	-
TCGA-02-0010	CDKN2A	-	-	-	-
TCGA-02-0010	CDKN2C	-	-	-	-
TCGA-02-0010	CEBPA	-	-	-	-
TCGA-02-0010	CENPF	-	-	-	-
TCGA-02-0010	CFH	-	-	-	-
TCGA-02-0010	CHD4	-	-	-	-
TCGA-02-0010	CHD8	-	-	-	-
TCGA-02-0010	CREM	-	-	-	-
TCGA-02-0010	CRTC3	-	-	-	-
TCGA-02-0010	CTCF	-	-	-	-
TCGA-02-0010	CUL1	-	-	-	-
TCGA-02-0010	DHX9	-	-	-	-
TCGA-02-0010	DICER1	-	-	-	-
TCGA-02-0010	DMD	-	-	-	-
TCGA-02-0010	DNMT3A	-	-	-	-
TCGA-02-0010	EGFR	-	-	-	-
TCGA-02-0010	EIF4A2	-	-	-	-
TCGA-02-0010	ELF3	-	-	-	-
TCGA-02-0010	ERCC2	-	-	-	-
TCGA-02-0010	EWSR1	-	-	-	-
TCGA-02-0010	EZH2	-	-	-	-
TCGA-02-0010	FANCA	-	-	-	-
TCGA-02-0010	FBN2	-	-	-	-
TCGA-02-0010	FBXO11	-	-	-	-
TCGA-02-0010	FES	-	-	-	-
TCGA-02-0010	FGFR3	-	-	-	-
TCGA-02-0010	FLT3	-	-	-	-
TCGA-02-0010	FOXA2	-	-	-	-
TCGA-02-0010	FRG1B	-	-	-	-
TCGA-02-0010	GATA3	-	-	-	-
TCGA-02-0010	GNAI1	-	-	-	-
TCGA-02-0010	GNAS	-	-	-	-
TCGA-02-0010	GOLGA5	-	-	-	-
TCGA-02-0010	GOT2	-	-	-	-
TCGA-02-0010	GPHN	-	-	-	-
TCGA-02-0010	GPS2	-	-	-	-
TCGA-02-0010	H3F3C	-	-	-	-
TCGA-02-0010	HGF	-	-	-	-
TCGA-02-0010	HLA-A	-	-	-	-
TCGA-02-0010	HMGXB4	-	-	-	-
TCGA-02-0010	HRAS	-	-	-	-
TCGA-02-0010	HSPA8	-	-	-	-
TCGA-02-0010	HUWE1	-	-	-	-
TCGA-02-0010	IDH1	-	-	-	-
TCGA-02-0010	IDH2	-	-	-	-
TCGA-02-0010	IRS2	-	-	-	-
TCGA-02-0010	KDM5C	-	-	-	-
TCGA-02-0010	KEAP1	-	-	-	-
TCGA-02-0010	KIFC3	-	-	-	-
TCGA-02-0010	KIT	-	-	-	-
TCGA-02-0010	KRAS	-	-	-	-
TCGA-02-0010	LEPR	-	-	-	-
TCGA-02-0010	LIFR	-	-	-	-
TCGA-02-0010	LPP	-	-	-	-
TCGA-02-0010	LUM	-	-	-	-
TCGA-02-0010	LZTR1	-	-	-	-
TCGA-02-0010	MALAT1	-	-	-	-
TCGA-02-0010	MAP2K4	-	-	-	-
TCGA-02-0010	MAP3K3	-	-	-	-
TCGA-02-0010	MAPK8IP1	-	-	-	-
TCGA-02-0010	MATK	-	-	-	-
TCGA-02-0010	MDM2	-	-	-	-
TCGA-02-0010	MDM4	-	-	-	-
TCGA-02-0010	METTL14	-	-	-	-
TCGA-02-0010	MN1	-	-	-	-
TCGA-02-0010	MTOR	-	-	-	-
TCGA-02-0010	NAV3	-	-	-	-
TCGA-02-0010	NBPF10	-	-	-	-
TCGA-02-0010	NCOA4	-	-	-	-
TCGA-02-0010	NF1	-	-	-	-
TCGA-02-0010	NFE2L2	-	-	-	-
TCGA-02-0010	NLRP3	-	-	-	-
TCGA-02-0010	NOTCH1	-	-	-	-
TCGA-02-0010	NR4A2	-	-	-	-
TCGA-02-0010	PCBP1	-	-	-	-
TCGA-02-0010	PDGFRA	-	-	-	-
TCGA-02-0010	PIK3CA	-	-	-	-
TCGA-02-0010	PIK3CG	-	-	-	-
TCGA-02-0010	PIK3R1	-	-	-	-
TCGA-02-0010	PIP5K1A	-	-	-	-
TCGA-02-0010	PLCG1	-	-	-	-
TCGA-02-0010	PPP2R1A	-	-	-	-
TCGA-02-0010	PTEN	-	-	-	-
TCGA-02-0010	RAC1	-	-	-	-
TCGA-02-0010	RANBP2	-	-	-	-
TCGA-02-0010	RANBP3	-	-	-	-
TCGA-02-0010	RB1	-	-	-	-
TCGA-02-0010	RBMX	-	-	-	-
TCGA-02-0010	RHEB	-	-	-	-
TCGA-02-0010	RHOA	-	-	-	-
TCGA-02-0010	RPL5	-	-	-	-
TCGA-02-0010	RPSAP58	-	-	-	-
TCGA-02-0010	RUNX1	-	-	-	-
TCGA-02-0010	RXRA	-	-	-	-
TCGA-02-0010	SMAD2	-	-	-	-
TCGA-02-0010	SMC1A	-	-	-	-
TCGA-02-0010	SPATA6	-	-	-	-
TCGA-02-0010	SPEN	-	-	-	-
TCGA-02-0010	SPOP	-	-	-	-
TCGA-02-0010	STAG2	-	-	-	-
TCGA-02-0010	STK11	-	-	-	-
TCGA-02-0010	SYNE1	-	-	-	-
TCGA-02-0010	TBL1XR1	-	-	-	-
TCGA-02-0010	TBX3	-	-	-	-
TCGA-02-0010	TCF12	-	-	-	-
TCGA-02-0010	TCF7	-	-	-	-
TCGA-02-0010	TET2	-	-	-	-
TCGA-02-0010	TFDP1	-	-	-	-
TCGA-02-0010	TGFBR2	-	-	-	-
TCGA-02-0010	TGIF1	-	-	-	-
TCGA-02-0010	TJP2	-	-	-	-
TCGA-02-0010	TNFRSF10C	-	-	-	-
TCGA-02-0010	TOM1	-	-	-	-
TCGA-02-0010	TP53	-	-	-	-
TCGA-02-0010	U2AF1	-	-	-	-
TCGA-02-0010	WT1	-	-	-	-
TCGA-02-0010	ZFP36L1	-	-	-	-
TCGA-02-0010	ZFP36L2	-	-	-	-
TCGA-02-0010	ZNF132	-	-	-	-
TCGA-02-0010	ZNF300	-	-	-	-
TCGA-02-0010	ZNF814	-	-	-	-
TCGA-02-0010	ZNF844	-	-	-	-
TCGA-02-0011	ABCB1	-	-	-	-
TCGA-02-0011	ACVR1B	-	-	-	-
TCGA-02-0011	ADCY1	-	-	-	-
TCGA-02-0011	ADORA2A	-	-	-	-
TCGA-02-0011	AHNAK2	-	-	-	-
TCGA-02-0011	AKAP9	-	-	-	-
TCGA-02-0011	AKD1	-	-	-	-
TCGA-02-0011	AKT1	-	-	-	-
TCGA-02-0011	AMPH	-	-	-	-
TCGA-02-0011	APAF1	-	-	-	-
TCGA-02-0011	BCOR	-	-	-	-
TCGA-02-0011	BRAF	-	-	-	-
TCGA-02-0011	BRCA1	-	-	-	-
TCGA-02-0011	BRCA2	-	-	-	-
TCGA-02-0011	CAD	-	-	-	-
TCGA-02-0011	CASP8	-	-	-	-
TCGA-02-0011	CAST	-	-	-	-
TCGA-02-0011	CBFB	-	-	-	-
TCGA-02-0011	CCND1	-	-	-	-
TCGA-02-0011	CDKN2A	-	-	-	-
TCGA-02-0011	CDKN2C	-	-	-	-
TCGA-02-0011	CEBPA	-	-	-	-
TCGA-02-0011	CENPF	-	-	-	-
TCGA-02-0011	CFH	-	-	-	-
TCGA-02-0011	CHD4	-	-	-	-
TCGA-02-0011	CHD8	-	-	-	-
