"column"	"row"	"observed"	"expected-mean"	"expected-stdev"	"distribution"	"probability"	"N"	"left-p-value"	"right-p-value"	"two-tail-p-value"	"corrected-left-p-value"	"corrected-right-p-value"	"corrected-two-tail-p-value"
"mouth, nos"	"ABC transporters"	1	1.2811859631147542	1.1131477093382316	"BINOMIAL"	0.03285092213114754	39	0.6318457489267624	0.7282037497567387	1	1	1	1
"ovary"	"ABC transporters"	3	3.0025491862213216	1.658952724263524	"BINOMIAL"	0.08340414406170338	36	0.6467768363085084	0.5871776897487188	1	1	0.9159971960080013	1
"pancreas"	"ABC transporters"	0	1.0794445956983392	1.0255250964418632	"BINOMIAL"	0.02570106180234141	42	0.3350222326633186	1	1	1	1	1
"prostate gland"	"ABC transporters"	1	1.776230135937201	1.3049360881568657	"BINOMIAL"	0.04130767757993491	43	0.46502199155693014	0.8369924486524951	1	1	1	1
"skin"	"ABC transporters"	5	5.453222189311556	2.185718854517519	"BINOMIAL"	0.12393686793889899	44	0.5318588915232264	0.6504116000244888	1	1	0.9291594286064127	1
"stomach"	"ABC transporters"	3	1.875966328809483	1.3371555957100916	"BINOMIAL"	0.046899158220237075	40	0.8834140101981929	0.28892740431963365	1	1	0.9007736722906226	1
"testis"	"ABC transporters"	4	3.612862108922364	1.8081394007810674	"BINOMIAL"	0.09507531865585168	38	0.7079508536283556	0.49399666568193346	1	1	1	1
"thyroid gland"	"ABC transporters"	2	1.5533183750590458	1.2198801658347387	"BINOMIAL"	0.041981577704298535	37	0.7978694043309615	0.46375415915527246	1	1	1	1
"urinary bladder"	"ABC transporters"	2	2.4693936925404403	1.518086112068441	"BINOMIAL"	0.06674037006866054	37	0.5475253204936072	0.7169214378374114	1	1	1	1
"adrenal cortex"	"Acute myeloid leukemia"	12	8.374053230652054	2.6686748096022734	"BINOMIAL"	0.1495366648330724	56	0.9331318514644928	0.12294077497992648	1	1	0.3512593570855042	1
"bones and joints"	"Acute myeloid leukemia"	7	5.318517550166678	2.1939460285957644	"BINOMIAL"	0.09497352768154782	56	0.8413995747751778	0.28020619210560477	1	1	0.8247578484617801	1
"brain, nos"	"Acute myeloid leukemia"	7	5.544789066136334	2.235123446238044	"BINOMIAL"	0.09901409046672026	56	0.8137171614598573	0.3170185720209613	1	1	0.889876693392172	1
"breast"	"Acute myeloid leukemia"	3	2.0139680500923176	1.3933909274703689	"BINOMIAL"	0.03596371518021996	56	0.8579259144830582	0.3271440895952017	1	1	0.9346973988434334	1
"cervix uteri"	"Acute myeloid leukemia"	1	3.3316125756357633	1.7701425582293626	"BINOMIAL"	0.05949308170778149	56	0.14640405004997614	0.9677691548343371	1	1	1	1
"colon, nos"	"Acute myeloid leukemia"	6	4.871708871373469	2.1090034438665546	"BINOMIAL"	0.08699480127452625	56	0.7882519721270697	0.3603702306845091	1	1	0.7791788771556953	1
"HR systems"	"Acute myeloid leukemia"	1	2.6375967379545644	1.5853599229320308	"BINOMIAL"	0.04709994174918865	56	0.25278947377676986	0.9329109262702441	1	0.8089263160856635	1	1
"kidney"	"Acute myeloid leukemia"	7	4.568527059620023	2.048370763053621	"BINOMIAL"	0.08158084035035755	56	0.9165545560560359	0.16963534473275937	1	1	0.5321893168086569	1
"liver"	"Acute myeloid leukemia"	3	5.8074314532490865	2.2814856582693235	"BINOMIAL"	0.10370413309373369	56	0.15443057806084876	0.9389174808428855	1	0.9760012533445641	1	1
"lung"	"Acute myeloid leukemia"	0	1.3601340033500837	1.1519977963810115	"BINOMIAL"	0.024288107202680067	56	0.25235360884329994	1	1	1	1	1
"lymph nodes"	"Acute myeloid leukemia"	6	4.5159010600706715	2.0375803970974733	"BINOMIAL"	0.08064109035840485	56	0.8372480522663415	0.29612072788723665	1	1	1	1
"mouth, nos"	"Acute myeloid leukemia"	0	1.8068007172131149	1.3219098484940057	"BINOMIAL"	0.03285092213114754	55	0.15927155272429783	1	1	1	1	1
"ovary"	"Acute myeloid leukemia"	8	4.670632067455389	2.0690775716831227	"BINOMIAL"	0.08340414406170338	56	0.9587858775934258	0.09208616271472539	1	1	0.36834465085890156	1
"pancreas"	"Acute myeloid leukemia"	1	1.439259460931119	1.184174380982853	"BINOMIAL"	0.02570106180234141	56	0.5764085582435698	0.7673169016886139	1	1	1	1
"prostate gland"	"Acute myeloid leukemia"	4	2.3132299444763547	1.4891862837676402	"BINOMIAL"	0.04130767757993491	56	0.9189247132476261	0.2003238585991897	1	1	1	1
"skin"	"Acute myeloid leukemia"	9	6.940464604578343	2.4658234242228527	"BINOMIAL"	0.12393686793889899	56	0.8504562794233498	0.253633189770296	1	1	0.47187570189822503	1
"stomach"	"Acute myeloid leukemia"	3	2.6263528603332764	1.5821438373277994	"BINOMIAL"	0.046899158220237075	56	0.7322884618401183	0.4919177207901321	1	1	1	1
"testis"	"Acute myeloid leukemia"	10	5.324217844727694	2.194997980989285	"BINOMIAL"	0.09507531865585168	56	0.9847734966536043	0.036922812046999424	1	1	0.19569090384909693	1
"thyroid gland"	"Acute myeloid leukemia"	3	2.350968351440718	1.500756806052987	"BINOMIAL"	0.041981577704298535	56	0.791847043020954	0.4193968183896728	1	1	1	1
"urinary bladder"	"Acute myeloid leukemia"	2	3.7374607238449906	1.867624483673978	"BINOMIAL"	0.06674037006866054	56	0.26919801726243087	0.8954027510471557	1	0.8992359300042904	1	1
"adrenal cortex"	"Adherens junction"	19	11.065713197647359	3.0677326076553446	"BINOMIAL"	0.1495366648330724	74	0.9948391860676158	0.011214766018982162	1	1	0.08156193468350664	1
"bones and joints"	"Adherens junction"	9	6.838093993071443	2.4877009635266547	"BINOMIAL"	0.09497352768154782	72	0.8571543356072353	0.24240451137790772	1	1	0.7717368117337471	1
"brain, nos"	"Adherens junction"	8	7.327042694537299	2.569350545629549	"BINOMIAL"	0.09901409046672026	74	0.6905745152516027	0.45235427226614233	1	1	1	1
"breast"	"Adherens junction"	3	2.6613149233362767	1.6017503399183477	"BINOMIAL"	0.03596371518021996	74	0.7240031795752039	0.4998480484733717	1	1	1	1
"cervix uteri"	"Adherens junction"	3	4.40248804637583	2.0348391743121277	"BINOMIAL"	0.05949308170778149	74	0.35150901338902635	0.8238131556064955	1	1	1	1
"colon, nos"	"Adherens junction"	5	6.437615294314942	2.4243713063605092	"BINOMIAL"	0.08699480127452625	74	0.368474391458012	0.781903157489067	1	1	1	1
"HR systems"	"Adherens junction"	0	3.48539568943996	1.8224252400289194	"BINOMIAL"	0.04709994174918865	74	0.028151669725876786	1	1	0.5630333945175358	1	1
"kidney"	"Adherens junction"	7	6.036982185926458	2.354671974186307	"BINOMIAL"	0.08158084035035755	74	0.7447551950038076	0.39979903775634484	1	1	0.8884423061252108	1
"liver"	"Adherens junction"	7	7.57040171584256	2.604864635394667	"BINOMIAL"	0.10370413309373369	73	0.5098159534031982	0.6430738284977051	1	1	1	1
"lung"	"Adherens junction"	0	1.797319932998325	1.3242607121666594	"BINOMIAL"	0.024288107202680067	74	0.16210570305993277	1	1	1	1	1
"lymph nodes"	"Adherens junction"	5	5.967440686521958	2.342268080923215	"BINOMIAL"	0.08064109035840485	74	0.4443252346135888	0.7217539993320393	1	0.9114363786945412	1	1
"mouth, nos"	"Adherens junction"	2	2.365266393442623	1.5124699042732122	"BINOMIAL"	0.03285092213114754	72	0.577215037494791	0.6889772842092734	1	1	1	1
"ovary"	"Adherens junction"	9	6.005098372442643	2.346113441989269	"BINOMIAL"	0.08340414406170338	72	0.9247143341005585	0.14413371285569046	1	1	0.45887467766301454	1
"pancreas"	"Adherens junction"	1	1.9018785733732644	1.3612487923294732	"BINOMIAL"	0.02570106180234141	74	0.4298811693744252	0.8543786796233206	1	1	1	1
"prostate gland"	"Adherens junction"	4	3.015460463335248	1.7002643308499872	"BINOMIAL"	0.04130767757993491	73	0.8162284459904855	0.3562726367841711	1	1	1	1
"skin"	"Adherens junction"	14	9.171328227478526	2.8345480296028187	"BINOMIAL"	0.12393686793889899	74	0.9635898373841266	0.06921204253133487	1	1	0.16528248962706832	1
"stomach"	"Adherens junction"	4	3.376739391857069	1.7939824851011945	"BINOMIAL"	0.046899158220237075	72	0.7513389531926148	0.43851906232898985	1	1	1	1
"testis"	"Adherens junction"	10	6.845422943221322	2.4888937654227985	"BINOMIAL"	0.09507531865585168	72	0.9225150406752081	0.14355206017037997	1	1	0.5434470849307241	1
"thyroid gland"	"Adherens junction"	4	3.1066367501180916	1.725171074993428	"BINOMIAL"	0.041981577704298535	74	0.8004295538550141	0.3771281165843818	1	1	1	1
"urinary bladder"	"Adherens junction"	1	4.872047015012219	2.1323425602464514	"BINOMIAL"	0.06674037006866054	73	0.04017942523133366	0.9935407657483676	1	0.5734699783017623	1	1
"adrenal cortex"	"Adipocytokine signaling pathway"	10	10.01895654381585	2.9190332641383416	"BINOMIAL"	0.1495366648330724	67	0.5807411629748506	0.5548677376839153	1	1	0.8877883802942645	1
"bones and joints"	"Adipocytokine signaling pathway"	3	6.0783057716190605	2.345426961165341	"BINOMIAL"	0.09497352768154782	64	0.13145695762689036	0.9496217678121267	1	1	1	1
"brain, nos"	"Adipocytokine signaling pathway"	2	6.633944061270257	2.4448088113053914	"BINOMIAL"	0.09901409046672026	67	0.03243260464966065	0.9922648780928023	1	0.30524804376151193	1	1
"breast"	"Adipocytokine signaling pathway"	0	2.409568917074737	1.5241101885473867	"BINOMIAL"	0.03596371518021996	67	0.08595209867114252	1	1	1	1	1
"cervix uteri"	"Adipocytokine signaling pathway"	3	3.98603647442136	1.9362063115170378	"BINOMIAL"	0.05949308170778149	67	0.43025900080442775	0.7687844496981312	1	1	1	1
"colon, nos"	"Adipocytokine signaling pathway"	6	5.828651685393258	2.306857015578564	"BINOMIAL"	0.08699480127452625	67	0.6351948911141988	0.5326622766523411	1	1	1	1
"HR systems"	"Adipocytokine signaling pathway"	0	3.1556960971956394	1.7340885198972926	"BINOMIAL"	0.04709994174918865	67	0.03946141774530818	1	1	0.48567898763456224	1	1
"kidney"	"Adipocytokine signaling pathway"	5	5.465916303473956	2.2405361541719944	"BINOMIAL"	0.08158084035035755	67	0.5313874082650641	0.6469942627867246	1	1	1	1
"liver"	"Adipocytokine signaling pathway"	13	6.844472784186424	2.4768271372097646	"BINOMIAL"	0.10370413309373369	66	0.9929634092385895	0.016943594592335843	1	1	0.06692719863972658	1
"lung"	"Adipocytokine signaling pathway"	0	1.6273031825795645	1.2600710568971139	"BINOMIAL"	0.024288107202680067	67	0.19255158775212816	1	1	0.8802358297240145	1	1
"lymph nodes"	"Adipocytokine signaling pathway"	3	5.402953054013125	2.2287335032664255	"BINOMIAL"	0.08064109035840485	67	0.2010802994178003	0.9145564113060196	1	0.824944818124309	1	1
"mouth, nos"	"Adipocytokine signaling pathway"	0	2.1681608606557377	1.448079686016807	"BINOMIAL"	0.03285092213114754	66	0.1102975477286362	1	1	1	1	1
"ovary"	"Adipocytokine signaling pathway"	3	5.337865219949016	2.211936965684699	"BINOMIAL"	0.08340414406170338	64	0.20844967361062983	0.9107225672086738	1	1	1	1
"pancreas"	"Adipocytokine signaling pathway"	1	1.7219711407568745	1.295266248323654	"BINOMIAL"	0.02570106180234141	67	0.48356017139735585	0.8252652190800557	1	1	1	1
"prostate gland"	"Adipocytokine signaling pathway"	5	2.7263067202757036	1.6166908552010013	"BINOMIAL"	0.04130767757993491	66	0.9450659773642995	0.13692694476170106	1	1	1	1
"skin"	"Adipocytokine signaling pathway"	7	8.303770151906232	2.6971516248061507	"BINOMIAL"	0.12393686793889899	67	0.3997640967522118	0.7395103572414259	1	1	1	1
"stomach"	"Adipocytokine signaling pathway"	5	2.8139494932142246	1.6376744580984997	"BINOMIAL"	0.046899158220237075	60	0.938299075505296	0.1499631862861849	1	1	0.7012984299853942	1
"testis"	"Adipocytokine signaling pathway"	6	6.084820393974508	2.3465515455778414	"BINOMIAL"	0.09507531865585168	64	0.5921156338358808	0.5764778155061938	1	1	1	1
"thyroid gland"	"Adipocytokine signaling pathway"	2	2.7288025507794047	1.616862119803099	"BINOMIAL"	0.041981577704298535	65	0.4827938120781343	0.7630923313949769	1	1	1	1
"urinary bladder"	"Adipocytokine signaling pathway"	1	4.271383684394275	1.9965745557310306	"BINOMIAL"	0.06674037006866054	64	0.06707291903895021	0.9879729611002523	1	0.8775373574262653	1	1
"adrenal cortex"	"Alanine"	10	4.635636609825244	1.9855575972038402	"BINOMIAL"	0.1495366648330724	31	0.9961458398942831	0.012117568670881368	1	1	0.08429612988439213	1
"bones and joints"	"Alanine"	3	2.564285247401791	1.5233994983175925	"BINOMIAL"	0.09497352768154782	27	0.7487813997321038	0.47967554418924574	1	1	0.9845971696516096	1
"brain, nos"	"Alanine"	2	3.069436804468328	1.6629850603745122	"BINOMIAL"	0.09901409046672026	31	0.3955815013000562	0.8260691095013825	1	1	1	1
"breast"	"Alanine"	2	1.1148751705868187	1.0367160254815855	"BINOMIAL"	0.03596371518021996	31	0.9007641397933419	0.30715289981228566	1	1	0.893535708544831	1
"cervix uteri"	"Alanine"	7	1.8442855329412262	1.3170282088996708	"BINOMIAL"	0.05949308170778149	31	0.9996414230408047	0.0019501944054374147	1	1	0.039003888108748296	1
"colon, nos"	"Alanine"	7	2.696838839510314	1.5691487758009723	"BINOMIAL"	0.08699480127452625	31	0.9958348695459861	0.015325965143390642	1	1	0.13623080127458348	1
"HR systems"	"Alanine"	1	1.460098194224848	1.1795455287222967	"BINOMIAL"	0.04709994174918865	31	0.5675153494470868	0.775886530795648	1	0.8486210832853633	1	1
"kidney"	"Alanine"	2	2.529006050861084	1.524036617663991	"BINOMIAL"	0.08158084035035755	31	0.5306741192616153	0.731636832392251	1	1	1	1
"liver"	"Alanine"	10	2.80001159353081	1.5841839598264127	"BINOMIAL"	0.10370413309373369	27	0.99996026700003	2.2843894864387908E-4	1	1	0.0016406069948060405	1
"lung"	"Alanine"	0	0.7529313232830821	0.8571137885875637	"BINOMIAL"	0.024288107202680067	31	0.4666266682863983	1	1	0.9954702256776498	1	1
"lymph nodes"	"Alanine"	3	2.4998738011105504	1.5160083284832526	"BINOMIAL"	0.08064109035840485	31	0.7623418196296491	0.46152069025980474	1	1	1	1
"mouth, nos"	"Alanine"	1	0.9526767418032787	0.9598856350327073	"BINOMIAL"	0.03285092213114754	29	0.7534902659704144	0.6204148269862849	1	1	1	1
"ovary"	"Alanine"	2	2.2519118896659913	1.436695202889613	"BINOMIAL"	0.08340414406170338	27	0.6059919681228427	0.6707847855177591	1	1	0.9512947867342765	1
"pancreas"	"Alanine"	0	0.7967329158725837	0.8810539336282329	"BINOMIAL"	0.02570106180234141	31	0.4461276151713269	1	1	1	1	1
"prostate gland"	"Alanine"	0	1.2805380049779822	1.1079900513720773	"BINOMIAL"	0.04130767757993491	31	0.2704311599628191	1	1	1	1	1
"skin"	"Alanine"	4	3.8420429061058687	1.8346313367639402	"BINOMIAL"	0.12393686793889899	31	0.6620649191888908	0.5464253122610319	1	1	0.8247929241675953	1
"stomach"	"Alanine"	3	1.4538739048273492	1.177152684460507	"BINOMIAL"	0.046899158220237075	31	0.9444868170967564	0.17632592081018442	1	1	0.8010234688234092	1
"testis"	"Alanine"	1	2.8522595596755504	1.6065740173269945	"BINOMIAL"	0.09507531865585168	30	0.20731134267114115	0.9500686847726172	1	0.7848215115407486	1	1
"thyroid gland"	"Alanine"	3	1.2174657534246576	1.079978990672938	"BINOMIAL"	0.041981577704298535	29	0.9680893225963478	0.12055790997671816	1	1	0.8386637215771698	1
"urinary bladder"	"Alanine"	2	1.8019899918538347	1.2968132143595266	"BINOMIAL"	0.06674037006866054	27	0.7320708508680587	0.5459941542081187	1	1	1	1
"adrenal cortex"	"Allograft rejection"	3	5.084246604324462	2.0794146589665345	"BINOMIAL"	0.1495366648330724	34	0.2306893959976847	0.9013057945772144	1	1	1	1
"bones and joints"	"Allograft rejection"	12	3.2290999411726258	1.7095089729285375	"BINOMIAL"	0.09497352768154782	34	0.9999930965155559	3.977654212008314E-5	1	1	0.0012410281141465938	1
"brain, nos"	"Allograft rejection"	7	3.366479075868489	1.7415941582630914	"BINOMIAL"	0.09901409046672026	34	0.9840446380998115	0.046017251120789276	1	1	0.26295572069022444	1
"breast"	"Allograft rejection"	6	1.3306574616681384	1.132608527124121	"BINOMIAL"	0.03596371518021996	37	0.9996906507609775	0.0019254360909023017	1	1	0.038508721818046036	1
"cervix uteri"	"Allograft rejection"	4	2.0227647780645706	1.3792839692563503	"BINOMIAL"	0.05949308170778149	34	0.9508651540735635	0.14139602196917606	1	1	0.7297859198409087	1
"colon, nos"	"Allograft rejection"	5	3.218807647157471	1.714289390841605	"BINOMIAL"	0.08699480127452625	37	0.9019307552625425	0.21609978534666885	1	1	0.6402956602864263	1
"HR systems"	"Allograft rejection"	10	1.74269784471998	1.2886492454299705	"BINOMIAL"	0.04709994174918865	37	0.9999993098565886	5.777278774793332E-6	1	1	4.6218230198346655E-4	1
"kidney"	"Allograft rejection"	15	2.7737485719121566	1.596077639870617	"BINOMIAL"	0.08158084035035755	34	0.9999999979780998	1.9406742696993095E-8	1	1	6.21015766303779E-7	1
"liver"	"Allograft rejection"	12	3.422236392093212	1.7513812645478877	"BINOMIAL"	0.10370413309373369	33	0.9999877164255351	6.736901982977938E-5	1	1	5.913502851725078E-4	1
"lung"	"Allograft rejection"	1	0.8986599664991625	0.9363937296319715	"BINOMIAL"	0.024288107202680067	37	0.7734518879318119	0.5973764747808037	1	1	1	1
"lymph nodes"	"Allograft rejection"	15	2.8224381625441697	1.6108487426345888	"BINOMIAL"	0.08064109035840485	35	0.9999999970897822	2.6879557820538896E-8	1	0.9999999970897822	4.300729251286223E-6	1
"mouth, nos"	"Allograft rejection"	3	1.0840804303278688	1.0239469656809708	"BINOMIAL"	0.03285092213114754	33	0.977698382453005	0.09331165115384604	1	1	0.775960046437246	1
"ovary"	"Allograft rejection"	9	2.8357408980979146	1.612212255167195	"BINOMIAL"	0.08340414406170338	34	0.9996726420583082	0.0014885172158329012	1	1	0.017862206589994815	1
"pancreas"	"Allograft rejection"	1	0.9509392866866322	0.9625482519381688	"BINOMIAL"	0.02570106180234141	37	0.7540579601078244	0.6183963831713863	1	1	1	1
"prostate gland"	"Allograft rejection"	3	1.5283840704575915	1.2104751439235837	"BINOMIAL"	0.04130767757993491	37	0.9347829262046218	0.19571626906886103	1	1	1	1
"skin"	"Allograft rejection"	15	4.213853509922566	1.9213541328837396	"BINOMIAL"	0.12393686793889899	34	0.999999260137602	4.496080477590143E-6	1	1	5.533637510880177E-5	1
"stomach"	"Allograft rejection"	2	1.5945713794880605	1.2327965460967143	"BINOMIAL"	0.046899158220237075	34	0.787365746826747	0.4779336462745069	1	1	0.9998874968111394	1
"testis"	"Allograft rejection"	19	3.5177867902665123	1.7841894771067837	"BINOMIAL"	0.09507531865585168	37	0.9999999999884244	1.2367751748430648E-10	1	1	4.9161813200011824E-9	1
"thyroid gland"	"Allograft rejection"	4	1.5113367973547474	1.2032823833827342	"BINOMIAL"	0.041981577704298535	36	0.9833921334683731	0.06298999964474263	1	1	0.71988571022563	1
"urinary bladder"	"Allograft rejection"	6	2.4026533224717794	1.497430916798273	"BINOMIAL"	0.06674037006866054	36	0.991163259901486	0.03051121767406178	1	1	0.17741708054917404	1
"adrenal cortex"	"Alzheimer's disease"	24	24.075403038124655	4.524958294094154	"BINOMIAL"	0.1495366648330724	161	0.5475431911056332	0.5404095725867171	1	1	0.8733892082209569	1
"bones and joints"	"Alzheimer's disease"	16	13.96110856918753	3.5545988294077158	"BINOMIAL"	0.09497352768154782	147	0.7682766464128616	0.321474346892586	1	1	0.8358333019207237	1
"brain, nos"	"Alzheimer's disease"	9	15.94126856514196	3.789836191351641	"BINOMIAL"	0.09901409046672026	161	0.037109683805197045	0.9819982631402504	1	0.31250260046481726	1	1
"breast"	"Alzheimer's disease"	2	5.790158144015413	2.362609266399252	"BINOMIAL"	0.03596371518021996	161	0.06851348671599344	0.9807462903419176	1	1	1	1
"cervix uteri"	"Alzheimer's disease"	4	9.57838615495282	3.0014227367712683	"BINOMIAL"	0.05949308170778149	161	0.034320800699712	0.9878860939765627	1	0.549132811195392	1	1
"colon, nos"	"Alzheimer's disease"	9	14.006163005198726	3.5759893229626454	"BINOMIAL"	0.08699480127452625	161	0.09859555412140056	0.9460912101918535	1	0.7887644329712045	1	1
"HR systems"	"Alzheimer's disease"	5	7.583090621619372	2.6881085348367693	"BINOMIAL"	0.04709994174918865	161	0.2258607958704049	0.8798714535642491	1	0.8814079838845069	1	1
"kidney"	"Alzheimer's disease"	8	13.134515296407566	3.4731816107039397	"BINOMIAL"	0.08158084035035755	161	0.08453027448610298	0.9562382224004254	1	0.9660602798411768	1	1
"liver"	"Alzheimer's disease"	13	15.866732363341255	3.7711121222486423	"BINOMIAL"	0.10370413309373369	153	0.27232359683157725	0.8123131669149818	1	1	1	1
"lung"	"Alzheimer's disease"	2	3.7889447236180906	1.9227372228117459	"BINOMIAL"	0.024288107202680067	156	0.26712050741409865	0.8945905893627968	1	0.9713472996876313	1	1
"lymph nodes"	"Alzheimer's disease"	13	12.98321554770318	3.4548856550656204	"BINOMIAL"	0.08064109035840485	161	0.5750339240976898	0.5396261481548776	1	0.9583898734961497	1	1
"mouth, nos"	"Alzheimer's disease"	4	4.829085553278689	2.1611213847915347	"BINOMIAL"	0.03285092213114754	147	0.4684662275100998	0.7147395050129832	1	1	1	1
"ovary"	"Alzheimer's disease"	9	12.260409177070397	3.3522888067424303	"BINOMIAL"	0.08340414406170338	147	0.20881546348735622	0.8722547633451803	1	1	1	1
"pancreas"	"Alzheimer's disease"	3	3.9836645793629186	1.970096487436317	"BINOMIAL"	0.02570106180234141	155	0.4341532721024333	0.7633001402051136	1	1	1	1
"prostate gland"	"Alzheimer's disease"	4	6.237459314570171	2.4453638494682024	"BINOMIAL"	0.04130767757993491	151	0.24871684696879112	0.8741055934868903	1	1	1	1
"skin"	"Alzheimer's disease"	15	19.953835738162738	4.1810070357998175	"BINOMIAL"	0.12393686793889899	161	0.14204493893847292	0.9082961273017056	1	1	1	1
"stomach"	"Alzheimer's disease"	4	6.987974574815325	2.580744940824658	"BINOMIAL"	0.046899158220237075	149	0.16755519706418245	0.9225398311299726	1	1	1	1
"testis"	"Alzheimer's disease"	10	14.1662224797219	3.580413993285225	"BINOMIAL"	0.09507531865585168	149	0.1519311297563925	0.9094257580843295	1	0.7320318070080729	1	1
"thyroid gland"	"Alzheimer's disease"	4	6.213273500236183	2.4397603316694774	"BINOMIAL"	0.041981577704298535	148	0.25162724254851904	0.8722979481035952	1	1	1	1
"urinary bladder"	"Alzheimer's disease"	5	9.8108344000931	3.025897500172228	"BINOMIAL"	0.06674037006866054	147	0.06787737257672274	0.9710137678882673	1	0.7611962496103908	1	1
"adrenal cortex"	"Aminoacyl-tRNA biosynthesis"	4	5.981466593322896	2.2554418698221754	"BINOMIAL"	0.1495366648330724	40	0.2659416358378218	0.8681775369560967	1	1	1	1
"bones and joints"	"Aminoacyl-tRNA biosynthesis"	5	2.9441793581279825	1.6323480812496374	"BINOMIAL"	0.09497352768154782	31	0.9316290416701677	0.16641646451902478	1	1	0.6490242116241967	1
"brain, nos"	"Aminoacyl-tRNA biosynthesis"	0	3.9605636186688105	1.8890240904315476	"BINOMIAL"	0.09901409046672026	40	0.01544258373932542	1	1	0.22461939984473336	1	1
"breast"	"Aminoacyl-tRNA biosynthesis"	1	1.4745123223890182	1.19225977924146	"BINOMIAL"	0.03596371518021996	41	0.5634645939823413	0.7772444181738176	1	1	1	1
"cervix uteri"	"Aminoacyl-tRNA biosynthesis"	3	2.3797232683112597	1.4960435145635669	"BINOMIAL"	0.05949308170778149	40	0.7870447625870776	0.42801053212330553	1	1	1	1
"colon, nos"	"Aminoacyl-tRNA biosynthesis"	7	3.566786852255576	1.8045761105741727	"BINOMIAL"	0.08699480127452625	41	0.976779268655828	0.06162481458249011	1	1	0.3180635591354329	1
"HR systems"	"Aminoacyl-tRNA biosynthesis"	5	1.9310976117167347	1.3565187159390315	"BINOMIAL"	0.04709994174918865	41	0.9881155905616179	0.04247015741461913	1	1	0.5662687655282551	1
"kidney"	"Aminoacyl-tRNA biosynthesis"	2	3.263233614014302	1.731189265656266	"BINOMIAL"	0.08158084035035755	40	0.35589948320711623	0.8486632367824369	1	1	1	1
"liver"	"Aminoacyl-tRNA biosynthesis"	0	4.251869456843082	1.95216111548034	"BINOMIAL"	0.10370413309373369	41	0.011233294486799838	1	1	0.5916201763047915	1	1
"lung"	"Aminoacyl-tRNA biosynthesis"	0	0.9958123953098827	0.9857109094956993	"BINOMIAL"	0.024288107202680067	41	0.3649098121021258	1	1	0.9571404907596743	1	1
"lymph nodes"	"Aminoacyl-tRNA biosynthesis"	2	3.306284704694599	1.7434627329176582	"BINOMIAL"	0.08064109035840485	41	0.34715519792055294	0.8536824447972059	1	0.8290273383177383	1	1
"mouth, nos"	"Aminoacyl-tRNA biosynthesis"	1	1.1826331967213115	1.0694777256521568	"BINOMIAL"	0.03285092213114754	36	0.6678274256554424	0.6995562357488858	1	1	1	1
"ovary"	"Aminoacyl-tRNA biosynthesis"	1	2.585528465912805	1.539442976295705	"BINOMIAL"	0.08340414406170338	31	0.256843299981402	0.9327775136594711	1	1	1	1
"pancreas"	"Aminoacyl-tRNA biosynthesis"	4	1.002341410291315	0.9882207100432433	"BINOMIAL"	0.02570106180234141	39	0.9968825477622321	0.01754436728156089	1	1	0.4678497941749571	1
"prostate gland"	"Aminoacyl-tRNA biosynthesis"	0	1.6936147807773312	1.2742274080666955	"BINOMIAL"	0.04130767757993491	41	0.17735736377972222	1	1	1	1	1
